date,E-Today(KWH),A0-Grid over voltage,A1-Grid under voltage,A2-Grid absent,A3-Grid over frequency,A4-Grid under frequency,A6-Grid abnormal
2025-08-13,18,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-14,32,2.0,0.0,0.0,0.0,0.0,0.0
2025-08-15,17,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-16,31,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-17,18,4.0,6.0,10.0,2.0,6.0,2.0
2025-08-18,14,0.0,13.0,15.0,2.0,13.0,0.0
2025-08-19,23,0.0,4.0,4.0,2.0,4.0,0.0
2025-08-20,45,6.0,2.0,2.0,0.0,2.0,0.0
2025-08-21,47,6.0,0.0,0.0,0.0,0.0,0.0
2025-08-22,49,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-23,32,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24,44,2.0,0.0,0.0,0.0,0.0,0.0
2025-08-25,50,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-26,46,2.0,2.0,2.0,0.0,2.0,0.0
2025-08-27,45,8.0,2.0,2.0,2.0,2.0,0.0
2025-08-28,52,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-29,45,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-30,24,0.0,16.0,17.0,10.0,16.0,0.0
2025-08-31,46,2.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,33,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,43,8.0,6.0,6.0,0.0,6.0,0.0
2025-09-03,34,4.0,2.0,2.0,2.0,2.0,0.0
2025-09-04,54,2.0,0.0,0.0,0.0,0.0,0.0
2025-09-05,50,2.0,0.0,0.0,0.0,0.0,0.0
2025-09-06,45,6.0,0.0,0.0,0.0,0.0,0.0
2025-09-07,41,4.0,0.0,0.0,0.0,0.0,0.0
2025-09-08,51,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-09,52,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-10,50,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-11,42,4.0,0.0,0.0,0.0,0.0,0.0
2025-09-12,45,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-13,40,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-14,40,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-15,37,2.0,0.0,0.0,0.0,0.0,0.0
2025-09-16,38,2.0,2.0,2.0,4.0,2.0,0.0
2025-09-17,39,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-18,17,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-19,43,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-20,41,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-21,39,0.0,2.0,2.0,0.0,2.0,0.0
2025-09-22,37,0.0,2.0,2.0,2.0,2.0,0.0
2025-09-23,34,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-24,32,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-25,16,2.0,4.0,7.0,2.0,4.0,0.0
2025-09-26,46,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-27,45,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-28,43,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29,39,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-30,39,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,26,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02,33,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-03,27,0.0,6.0,2.0,2.0,2.0,0.0
2025-10-04,36,0.0,12.0,16.0,10.0,12.0,0.0
2025-10-05,18,0.0,2.0,2.0,0.0,2.0,0.0
2025-10-06,16,0.0,2.0,2.0,2.0,2.0,0.0
2025-10-07,12,0.0,2.0,2.0,0.0,2.0,0.0
2025-10-08,43,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-09,43,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-10,34,3.0,0.0,0.0,0.0,0.0,0.0
2025-10-11,43,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12,44,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,40,0.0,2.0,2.0,2.0,2.0,0.0
2025-10-14,25,8.0,0.0,0.0,0.0,0.0,0.0
2025-10-15,36,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16,36,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17,29,5.0,0.0,0.0,0.0,0.0,0.0
2025-10-18,32,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-19,31,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20,30,2.0,0.0,0.0,0.0,0.0,0.0
2025-10-21,34,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-22,29,2.0,2.0,2.0,2.0,2.0,0.0
2025-10-23,36,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-24,31,4.0,0.0,0.0,0.0,0.0,0.0
2025-10-25,28,1.0,0.0,0.0,0.0,0.0,0.0
2025-10-26,7,0.0,2.0,2.0,2.0,2.0,0.0
2025-10-27,28,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-28,24,0.0,2.0,2.0,2.0,2.0,0.0
2025-10-29,14,0.0,2.0,2.0,2.0,2.0,0.0
2025-10-30,25,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31,26,2.0,1.0,1.0,0.0,1.0,0.0
2025-11-01,27,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-02,27,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,27,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-04,12,2.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,32,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-06,34,2.0,0.0,0.0,0.0,0.0,0.0
2025-11-07,23,4.0,0.0,0.0,0.0,0.0,0.0
2025-11-08,28,2.0,0.0,0.0,0.0,0.0,0.0
2025-11-09,28,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-10,25,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,24,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12,26,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-13,24,2.0,0.0,0.0,0.0,0.0,0.0
2025-11-14,23,6.0,0.0,0.0,0.0,0.0,0.0
2025-11-15,24,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-16,9,0.0,2.0,2.0,2.0,2.0,0.0
2025-11-17,22,2.0,0.0,0.0,0.0,0.0,0.0
2025-11-18,20,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19,15,0.0,2.0,2.0,2.0,2.0,0.0
2025-11-20,6,0.0,2.0,2.0,0.0,2.0,0.0
2025-11-21,18,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-22,22,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-23,18,4.0,0.0,0.0,0.0,0.0,0.0
2025-11-24,18,0.0,2.0,0.0,0.0,0.0,0.0
2025-11-25,20,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-26,14,6.0,0.0,0.0,0.0,0.0,0.0
2025-11-27,16,4.0,0.0,0.0,0.0,0.0,0.0
2025-11-28,18,1.0,0.0,0.0,0.0,0.0,0.0
2025-11-29,20,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-30,18,0.0,2.0,2.0,0.0,2.0,0.0
2025-12-01,17,2.0,0.0,0.0,0.0,0.0,0.0
